id,abbr,state,depression,education
1,AL,Alabama,21.3,20.4
2,AK,Alaska,15.6,24.1
3,AZ,Arizona,18.7,23.9
4,AR,Arkansas,21.5,18.2
5,CA,California,13.3,27.3
6,CO,Colorado,17,33.4
7,CT,Connecticut,18.3,32.9
8,DE,Delaware,18.3,26.1
9,DC,District of Columbia,18.1,49.1
10,FL,Florida,16.2,24.1
11,GA,Georgia,18.3,24.7
12,HI,Hawaii,10.7,27.3
13,ID,Idaho,19.5,22.4
14,IL,Illinois,16.7,28.4
15,IN,Indiana,20.7,20.8
16,IA,Iowa,18.7,23.4
17,KS,Kansas,18.6,27
18,KY,Kentucky,23.9,19.3
19,LA,Louisiana,18.7,19.8
20,ME,Maine,23.7,25.6
21,MD,Maryland,15.9,33.3
22,MA,Massachusetts,21.7,35.5
23,MI,Michigan,20.5,23.4
24,MN,Minnesota,18.2,29.6
25,MS,Mississippi,19.9,18.1
26,MO,Missouri,21.7,23.8
27,MT,Montana,20.4,26.2
28,NE,Nebraska,17.7,25.8
29,NV,Nevada,15.6,19.9
30,NH,New Hampshire,21,31
31,NJ,New Jersey,13.4,32.5
32,NM,New Mexico,21.1,22.8
33,NY,New York,15.9,30.4
34,NC,North Carolina,19,24.3
35,ND,North Dakota,17.3,25
36,OH,Ohio,20.9,22.8
37,OK,Oklahoma,21.8,21
38,OR,Oregon,24,26.8
39,PA,Pennsylvania,19.7,25.1
40,RI,Rhode Island,20.6,27.9
41,SC,South Carolina,19.9,22.5
42,SD,South Dakota,16.6,23.8
43,TN,Tennessee,21.4,21.5
44,TX,Texas,14.6,23.5
45,UT,Utah,20.7,25.8
46,VT,Vermont,21.8,31.5
47,VA,Virginia,17.4,31.7
48,WA,Washington,21.6,28.7
49,WV,West Virginia,23.6,16.6
50,WI,Wisconsin,17,24.3
51,WY,Wyoming,19,22.8
