,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
1,saint george,bm,32.38,-64.68,66.2,77,13.87,20
2,puerto leguizamo,co,-0.19,-74.78,73.71,95,1.92,36
3,poum,nc,-20.23,164.02,80.64,96,14,100
4,nome,us,30.04,-94.42,68.85,78,7.96,90
5,kavieng,pg,-2.57,150.8,83.52,100,3.83,68
6,bluff,nz,-46.6,168.33,56.29,94,37.71,100
7,mananjary,mg,-19.16,46.8,52.74,91,3.15,64
8,praya,id,-8.71,116.27,87.8,66,9.17,20
9,saint-philippe,re,-21.36,55.77,77,88,23.04,92
10,clyde river,ca,70.47,-68.59,-7.61,83,3.15,1
11,matara,lk,5.95,80.54,78.97,100,5.61,88
12,abu kamal,sy,34.45,40.92,52.6,23,4.83,0
13,new norfolk,au,-42.78,147.06,59,51,6.93,75
15,namatanai,pg,-3.66,152.44,84.24,100,6.62,8
16,cedral,mx,23.82,-100.72,63.54,44,8.86,0
17,mount gambier,au,-37.83,140.78,71.77,63,3.27,0
19,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
20,bethel,us,60.79,-161.76,46.4,66,21.92,20
21,heyang,cn,26.1,107.47,63.72,81,9.64,92
22,avarua,ck,-21.21,-159.78,80.6,69,12.75,40
23,jinchang,cn,38.52,102.19,58.54,42,18.03,76
24,yellowknife,ca,62.45,-114.38,24.8,68,11.41,75
25,kieta,pg,-6.22,155.63,80.19,100,1.92,92
26,hilo,us,19.71,-155.08,73.4,88,5.82,90
27,hobart,au,-42.88,147.33,59,51,6.93,75
28,beipiao,cn,41.8,120.76,63.67,56,7.74,0
29,saskylakh,ru,71.97,114.09,6.7,100,4.72,24
30,biltine,td,14.53,20.93,71.32,15,12.55,0
31,new norfolk,au,-42.78,147.06,59,51,6.93,75
32,bluff,nz,-46.6,168.33,56.29,94,37.71,100
33,saint-philippe,re,-21.36,55.77,77,88,23.04,92
34,guerrero negro,mx,27.97,-114.04,59.44,78,9.08,0
36,taoudenni,ml,22.68,-3.98,58.27,28,4.27,0
38,castro,cl,-42.48,-73.76,56.43,96,9.64,92
39,cape town,za,-33.93,18.42,53.6,93,8.05,40
40,jamestown,sh,-15.94,-5.72,74.79,100,12.77,0
41,georgetown,sh,-7.93,-14.42,78.97,100,12.66,76
42,punta arenas,cl,-53.16,-70.91,41,80,17.22,40
44,vila velha,br,-3.71,-38.6,80.6,88,8.05,40
46,mount isa,au,-20.73,139.49,89.6,33,10.29,0
47,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
48,sibolga,id,1.74,98.78,71.01,100,1.59,88
49,namibe,ao,-15.19,12.15,77.62,100,3.83,8
50,jamestown,sh,-15.94,-5.72,74.79,100,12.77,0
51,mount gambier,au,-37.83,140.78,71.77,63,3.27,0
53,iqaluit,ca,63.75,-68.52,3.2,77,18.34,5
54,nikolskoye,ru,59.7,30.79,35.6,100,6.71,0
55,sur,om,22.57,59.53,80.55,87,9.64,0
56,mahebourg,mu,-20.41,57.7,78.8,88,3.36,75
57,rodos,gr,36.44,28.22,57.58,82,11.41,20
58,charters towers,au,-20.07,146.27,77.8,82,7.07,12
59,maromitsa,ru,59.87,48.01,26.46,79,1.03,0
60,dordrecht,za,-31.37,27.05,49.9,95,2.82,64
61,independence,us,39.09,-94.42,40.5,60,10.29,1
62,rikitea,pf,-23.12,-134.97,79.65,100,15.79,100
63,esperance,au,-33.86,121.89,66.33,62,8.75,0
65,broome,au,-17.97,122.23,89.6,70,5.82,20
