,Compound,Date,Negative,Neutral,Positive,Tweets Ago,News Organization
0,-0.4215,Wed Jun 06 00:29:32 +0000 2018,0.432,0.37,0.198,1,BBC World
1,-0.4404,Wed Jun 06 00:24:47 +0000 2018,0.756,0.244,0.0,2,BBC World
2,-0.2023,Wed Jun 06 00:18:30 +0000 2018,0.463,0.306,0.231,3,BBC World
3,-0.3182,Tue Jun 05 23:56:39 +0000 2018,0.796,0.204,0.0,4,BBC World
4,0.128,Tue Jun 05 23:56:37 +0000 2018,0.857,0.0,0.143,5,BBC World
5,0.0,Tue Jun 05 23:46:58 +0000 2018,1.0,0.0,0.0,6,BBC World
6,0.0,Tue Jun 05 23:42:25 +0000 2018,1.0,0.0,0.0,7,BBC World
7,0.5267,Tue Jun 05 23:17:06 +0000 2018,0.702,0.0,0.298,8,BBC World
8,0.0,Tue Jun 05 23:07:46 +0000 2018,1.0,0.0,0.0,9,BBC World
9,0.0,Tue Jun 05 23:05:18 +0000 2018,1.0,0.0,0.0,10,BBC World
10,0.0,Tue Jun 05 21:54:37 +0000 2018,1.0,0.0,0.0,11,BBC World
11,0.3182,Tue Jun 05 21:51:15 +0000 2018,0.887,0.0,0.113,12,BBC World
12,0.0,Tue Jun 05 21:44:57 +0000 2018,1.0,0.0,0.0,13,BBC World
13,0.0,Tue Jun 05 21:22:09 +0000 2018,1.0,0.0,0.0,14,BBC World
14,0.0,Tue Jun 05 20:51:27 +0000 2018,1.0,0.0,0.0,15,BBC World
15,0.3612,Tue Jun 05 20:19:13 +0000 2018,0.857,0.0,0.143,16,BBC World
16,0.25,Tue Jun 05 19:28:07 +0000 2018,0.846,0.0,0.154,17,BBC World
17,-0.3612,Tue Jun 05 19:17:54 +0000 2018,0.8,0.2,0.0,18,BBC World
18,-0.2263,Tue Jun 05 18:32:39 +0000 2018,0.863,0.137,0.0,19,BBC World
19,0.2263,Tue Jun 05 18:32:37 +0000 2018,0.419,0.234,0.347,20,BBC World
20,0.0,Tue Jun 05 18:30:19 +0000 2018,1.0,0.0,0.0,21,BBC World
21,-0.6486,Tue Jun 05 17:52:40 +0000 2018,0.777,0.223,0.0,22,BBC World
22,-0.6908,Tue Jun 05 16:52:45 +0000 2018,0.81,0.19,0.0,23,BBC World
23,-0.6486,Tue Jun 05 16:20:35 +0000 2018,0.583,0.417,0.0,24,BBC World
24,0.743,Tue Jun 05 16:05:15 +0000 2018,0.442,0.0,0.558,25,BBC World
25,0.0,Tue Jun 05 15:01:51 +0000 2018,1.0,0.0,0.0,26,BBC World
26,-0.6597,Tue Jun 05 14:44:17 +0000 2018,0.614,0.386,0.0,27,BBC World
27,-0.5423,Tue Jun 05 14:43:49 +0000 2018,0.774,0.226,0.0,28,BBC World
28,0.5994,Tue Jun 05 14:20:43 +0000 2018,0.849,0.0,0.151,29,BBC World
29,0.7244,Tue Jun 05 14:14:11 +0000 2018,0.497,0.0,0.503,30,BBC World
30,0.2607,Tue Jun 05 13:58:41 +0000 2018,0.562,0.165,0.272,31,BBC World
31,0.0,Tue Jun 05 12:58:54 +0000 2018,1.0,0.0,0.0,32,BBC World
32,-0.5423,Tue Jun 05 12:42:41 +0000 2018,0.667,0.333,0.0,33,BBC World
33,0.0,Tue Jun 05 12:37:53 +0000 2018,1.0,0.0,0.0,34,BBC World
34,0.0,Tue Jun 05 12:30:57 +0000 2018,1.0,0.0,0.0,35,BBC World
35,-0.296,Tue Jun 05 12:26:25 +0000 2018,0.82,0.18,0.0,36,BBC World
36,0.0516,Tue Jun 05 12:16:59 +0000 2018,0.492,0.246,0.262,37,BBC World
37,0.0,Tue Jun 05 11:58:42 +0000 2018,1.0,0.0,0.0,38,BBC World
38,0.0,Tue Jun 05 11:28:09 +0000 2018,1.0,0.0,0.0,39,BBC World
39,0.0,Tue Jun 05 11:04:56 +0000 2018,1.0,0.0,0.0,40,BBC World
40,0.4019,Tue Jun 05 10:55:10 +0000 2018,0.829,0.0,0.171,41,BBC World
41,0.2023,Tue Jun 05 10:29:21 +0000 2018,0.833,0.0,0.167,42,BBC World
42,-0.6249,Tue Jun 05 10:26:48 +0000 2018,0.486,0.368,0.146,43,BBC World
43,0.0,Tue Jun 05 10:26:30 +0000 2018,1.0,0.0,0.0,44,BBC World
44,0.0,Tue Jun 05 10:19:06 +0000 2018,1.0,0.0,0.0,45,BBC World
45,-0.4215,Tue Jun 05 10:14:35 +0000 2018,0.741,0.259,0.0,46,BBC World
46,-0.4019,Tue Jun 05 09:58:36 +0000 2018,0.828,0.172,0.0,47,BBC World
47,-0.4019,Tue Jun 05 09:40:58 +0000 2018,0.828,0.172,0.0,48,BBC World
48,0.0,Tue Jun 05 09:02:58 +0000 2018,1.0,0.0,0.0,49,BBC World
49,-0.3182,Tue Jun 05 09:00:42 +0000 2018,0.796,0.204,0.0,50,BBC World
50,-0.4215,Tue Jun 05 07:47:41 +0000 2018,0.764,0.149,0.087,51,BBC World
51,0.1531,Tue Jun 05 06:41:39 +0000 2018,0.827,0.076,0.097,52,BBC World
52,0.2732,Tue Jun 05 05:03:34 +0000 2018,0.769,0.0,0.231,53,BBC World
53,-0.3612,Tue Jun 05 04:54:29 +0000 2018,0.566,0.264,0.17,54,BBC World
54,-0.296,Tue Jun 05 04:35:38 +0000 2018,0.784,0.216,0.0,55,BBC World
55,0.0,Tue Jun 05 04:17:32 +0000 2018,1.0,0.0,0.0,56,BBC World
56,0.0,Tue Jun 05 01:51:55 +0000 2018,1.0,0.0,0.0,57,BBC World
57,0.0,Tue Jun 05 01:42:45 +0000 2018,1.0,0.0,0.0,58,BBC World
58,-0.7003,Tue Jun 05 01:28:59 +0000 2018,0.58,0.42,0.0,59,BBC World
59,0.4939,Tue Jun 05 01:26:30 +0000 2018,0.714,0.0,0.286,60,BBC World
60,-0.7184,Tue Jun 05 01:21:33 +0000 2018,0.538,0.462,0.0,61,BBC World
61,0.0,Tue Jun 05 01:16:48 +0000 2018,1.0,0.0,0.0,62,BBC World
62,-0.1027,Tue Jun 05 00:48:55 +0000 2018,0.714,0.159,0.127,63,BBC World
63,0.0,Tue Jun 05 00:33:12 +0000 2018,1.0,0.0,0.0,64,BBC World
64,0.0,Tue Jun 05 00:01:36 +0000 2018,1.0,0.0,0.0,65,BBC World
65,0.0,Mon Jun 04 23:59:22 +0000 2018,1.0,0.0,0.0,66,BBC World
66,0.0,Mon Jun 04 23:43:23 +0000 2018,1.0,0.0,0.0,67,BBC World
67,0.1027,Mon Jun 04 23:24:51 +0000 2018,0.583,0.192,0.225,68,BBC World
68,0.7839,Mon Jun 04 23:08:49 +0000 2018,0.592,0.0,0.408,69,BBC World
